"ID","price","bedrooms","bathrooms","lot_size","year_built","postal_code","borough"
471,375000,4,2,1538,1954,"H9E1H7","L'Île-Bizard–Sainte-Geneviève"
472,389000,4,1,554,1981,"H9C2A8","L'Île-Bizard–Sainte-Geneviève"
473,1049000,4,3,198,1946,"H4H1R5","Verdun"
474,439000,3,2,255,1949,"H8S3W4","Lachine"
475,589000,3,2,292,1950,"H4B2N9","Côte-des-Neiges–Notre-Dame-de-Grâce"
476,469000,3,1,273,1973,"H4K1T9","Saint-Laurent"
477,395000,3,1,225,1987,"H8Y3L8","Pierrefonds-Roxboro"
478,1391197.5,5,3,209,1923,"H2E2X1","Villeray–Saint-Michel–Parc-Extension"
479,635000,4,2,381,2000,"H8Y3R3","Pierrefonds-Roxboro"
480,795000,2,2,186,1985,"H3E1L5","Verdun"
481,498000,6,3,942,1972,"H9J1V5","Pierrefonds-Roxboro"
482,449900,4,2,290,1960,"H4K1Y9","Saint-Laurent"
483,748000,3,1,1463,1882,"H4J1B4","Ahuntsic-Cartierville"
484,599000,4,2,512,1987,"H1E6V8","Rivière-des-Prairies–Pointe-aux-Trembles"
485,425292.525,3,2,411,1965,"H1B4H7","Rivière-des-Prairies–Pointe-aux-Trembles"
486,569000,2,1,256,1885,"H4C1L2","Le Sud-Ouest"
487,1369000,4,2,447,1945,"H3R3A8","Côte-des-Neiges–Notre-Dame-de-Grâce"
488,419888,3,1,406,1952,"H1L1E9","Mercier–Hochelaga-Maisonneuve"
489,889000,4,1,368,1953,"H2E2W3","Villeray–Saint-Michel–Parc-Extension"
490,645000,4,3,1154,1933,"H8Y2G3","Pierrefonds-Roxboro"
491,239000,3,1,325,1968,"H1B4H6","Rivière-des-Prairies–Pointe-aux-Trembles"
492,569000,3,1,402,1951,"H4L1L7","Saint-Laurent"
493,539000,2,2,203,1915,"H4E2T4","Le Sud-Ouest"
494,849000,2,2,1017,1900,"H2B2L1","Ahuntsic-Cartierville"
495,449000,4,2,703,1962,"H8Z1P3","Pierrefonds-Roxboro"
496,1190000,4,2,629,1976,"H8Z1A7","Pierrefonds-Roxboro"
497,614800,4,3,525,2002,"H8Z2T8","Pierrefonds-Roxboro"
498,419000,3,1,259,1986,"H1E5S1","Rivière-des-Prairies–Pointe-aux-Trembles"
499,549000,4,3,634,1986,"H1E1C4","Rivière-des-Prairies–Pointe-aux-Trembles"
500,274900,5,1,626,1976,"H9E1M9","L'Île-Bizard–Sainte-Geneviève"
501,564400,3,1,336,1988,"H4K1R1","Ahuntsic-Cartierville"
502,224800,3,1,173,1970,"H1A3E5","Rivière-des-Prairies–Pointe-aux-Trembles"
503,599000,5,2,1094,1981,"H1E4C6","Rivière-des-Prairies–Pointe-aux-Trembles"
504,699000,4,3,802,2001,"H9K1P8","Pierrefonds-Roxboro"
505,418000,4,2,680,1984,"H9J3C3","Pierrefonds-Roxboro"
506,274900,3,1,221,1944,"H1G5T5","Montréal-Nord"
507,324900,3,1,427,1952,"H1T3C4","Rosemont–La Petite-Patrie"
508,389888,4,1,452,1964,"H1G1V5","Montréal-Nord"
509,549000,4,2,557,1964,"H9A1L5","Pierrefonds-Roxboro"
510,795000,4,2,2413,1980,"H9E1K5","L'Île-Bizard–Sainte-Geneviève"
511,659000,4,2,568,1965,"H1P2R9","Saint-Léonard"
512,574900,3,2,466,1960,"H1K1H2","Anjou"
513,259000,3,1,214,1987,"H1A0B3","Rivière-des-Prairies–Pointe-aux-Trembles"
514,657700,3,2,697,1976,"H1R3K4","Saint-Léonard"
515,399900,4,1,330,1985,"H1E5W5","Rivière-des-Prairies–Pointe-aux-Trembles"
516,499000,3,2,499,1996,"H1C2E6","Rivière-des-Prairies–Pointe-aux-Trembles"
517,982000,3,3,414,1921,"H4H1V7","Verdun"
518,375000,4,2,444,1984,"H9J1W2","Pierrefonds-Roxboro"
519,649000,5,2,523,1990,"H9K1J8","Pierrefonds-Roxboro"
520,799000,3,2,204,1981,"H3E1K8","Verdun"
521,6e+05,4,2,420,1967,"H4J2B7","Ahuntsic-Cartierville"
522,549000,4,2,485,1996,"H9K1P1","Pierrefonds-Roxboro"
523,269900,3,2,475,1865,"H1B4R1","Rivière-des-Prairies–Pointe-aux-Trembles"
524,250000,2,1,209,1945,"H8S3E9","Lachine"
525,268000,3,1,418,1923,"H1H4T2","Montréal-Nord"
526,524900,5,2,502,1953,"H4L1N5","Saint-Laurent"
527,575000,5,1,363,1950,"H1L5Z3","Mercier–Hochelaga-Maisonneuve"
528,779000,6,2,297,1959,"H3L3K7","Ahuntsic-Cartierville"
529,969000,5,2,339,1885,"H3K2N4","Le Sud-Ouest"
530,309900,3,2,290,1940,"H1B3K1","Rivière-des-Prairies–Pointe-aux-Trembles"
531,1089963,3,2,739,1900,"H2L2Y3","Ville-Marie"
532,799000,3,1,688,1900,"H4J1C1","Ahuntsic-Cartierville"
533,535000,5,1,613,1964,"H9H1L4","Pierrefonds-Roxboro"
534,659000,3,1,136,1900,"H3K2P5","Le Sud-Ouest"
535,779000,3,2,702,2001,"H1P3P2","Saint-Léonard"
536,545000,3,1,260,1984,"H1M3G7","Mercier–Hochelaga-Maisonneuve"
537,299000,4,1,198,1958,"H1G5E9","Montréal-Nord"
538,1299000,6,4,188,1910,"H2J3J8","Le Plateau-Mont-Royal"
539,649000,4,2,575,1972,"H1G1E3","Montréal-Nord"
540,364500,3,1,404,1934,"H2B2P6","Ahuntsic-Cartierville"
541,4e+05,5,2,418,1961,"H8Y2Z2","Pierrefonds-Roxboro"
542,399000,6,3,544,1950,"H1A1R7","Rivière-des-Prairies–Pointe-aux-Trembles"
543,569000,4,2,405,2003,"H8Z3L7","Pierrefonds-Roxboro"
544,389000,2,2,404,1942,"H2B2P3","Ahuntsic-Cartierville"
545,419999,4,2,372,1951,"H1Z3X9","Villeray–Saint-Michel–Parc-Extension"
546,586000,5,2,201,1999,"H4R2W4","Saint-Laurent"
547,389000,3,1,259,1971,"H1P2J6","Saint-Léonard"
548,215000,3,1,289,1944,"H1G5A8","Montréal-Nord"
549,569000,3,1,472,1890,"H3M2Z9","Ahuntsic-Cartierville"
550,375000,4,1,444,1944,"H8S3K4","Lachine"
551,479000,3,1,203,1981,"H8N2P1","LaSalle"
552,549900,3,1,503,2002,"H9C3A2","L'Île-Bizard–Sainte-Geneviève"
553,1490000,4,2,260,1950,"H2G2M8","Rosemont–La Petite-Patrie"
554,595000,4,2,315,1984,"H8N2T8","LaSalle"
